Ensembl.ID	Mouse.Brain.RP.R1	Mouse.Brain.RP.R2	Mouse.Brain.RP.R3	Mouse.Liver.RP.R1	Mouse.Liver.RP.R2	Mouse.Liver.RP.R3	Mouse.Testis.RP.R1	Mouse.Testis.RP.R2	Mouse.Testis.RP.R3	Opossum.Brain.RP.R1	Opossum.Brain.RP.R2	Opossum.Brain.RP.R3	Opossum.Liver.RP.R1	Opossum.Liver.RP.R2	Opossum.Liver.RP.R3	Opossum.Testis.RP.R1	Opossum.Testis.RP.R2	Opossum.Testis.RP.R3	Mouse.Brain.TR.R1	Mouse.Brain.TR.R2	Mouse.Brain.TR.R3	Mouse.Liver.TR.R1	Mouse.Liver.TR.R2	Mouse.Liver.TR.R3	Mouse.Testis.TR.R1	Mouse.Testis.TR.R2	Mouse.Testis.TR.R3	Opossum.Brain.TR.R1	Opossum.Brain.TR.R2	Opossum.Brain.TR.R3	Opossum.Liver.TR.R1	Opossum.Liver.TR.R2	Opossum.Liver.TR.R3	Opossum.Testis.TR.R1	Opossum.Testis.TR.R2	Opossum.Testis.TR.R3
ENSMUSG00000031250	1.0253	2.2589	1.3805	0	0	0	0	0	0	0	0	0	3.2175	4.0337	1.2241	0	0	0	0.8897	0.8787	1.0363	0	0	0	0	0	0	0	0	0	1.7704	2.817	0.8276	0	0	0
ENSMUSG00000026584	8.751	9.3077	9.4224	15.7934	19.7973	18.3272	11.1655	10.8435	11.2516	7.5744	6.5936	7.3241	11.9769	14.7178	20.0486	23.0284	19.4597	22.7019	12.0096	12.2956	11.7727	25.8031	24.8109	23.9194	20.2666	21.3762	22.0022	9.3082	9.0979	8.8286	11.1343	13.6885	14.9801	21.9491	20.8629	19.3899
ENSMUSG00000019810	36.8731	24.9463	23.4807	8.2726	8.5371	9.6847	46.9446	45.656	42.0867	10.9458	14.0777	15.379	33.4827	38.2839	34.0267	65.5708	86.0687	80.9372	31.1028	23.9944	28.0359	9.501	6.3123	10.9337	21.6009	21.3694	16.3752	6.8492	7.9003	9.0172	17.5763	20.401	18.0199	21.8065	29.6208	25.065
ENSMUSG00000032350	36.5797	36.4545	28.9577	670.9355	723.46	440.3942	31.0088	29.3548	26.0625	33.6434	38.0375	37.3877	421.9522	431.6747	491.4811	17.5	24.7125	20.2779	44.6684	42.7093	43.0499	799.6273	829.1816	530.2747	30.9269	31.9418	30.1145	26.2359	22.7132	26.8707	293.1938	382.737	423.109	11.0385	10.9064	11.3119
ENSMUSG00000023994	13.4125	14.3147	13.8841	12.9519	10.9728	9.2514	26.4691	20.8672	23.6102	16.5296	20.4412	14.9011	21.0853	24.4859	19.0537	23.7328	23.1145	26.6851	5.6564	6.0029	7.2591	9.5243	9.0067	11.0662	9.6185	14.0677	13.4708	23.3875	24.6544	21.2169	18.8623	24.8218	20.2634	30.2101	29.7571	44.8449
ENSMUSG00000028803	35.5615	24.8257	30.2679	3.1424	4.5233	3.4145	1.7439	0.7192	1.4341	58.893	59.9215	52.2253	9.9729	8.3239	9.161	5.8841	3.2631	3.0286	40.0709	29.9398	36.6041	6.7566	9.8144	8.0314	1.6631	1.7984	1.871	35.9046	49.951	41.3502	26.3363	15.2779	19.5666	7.9554	6.6344	5.967
ENSMUSG00000023961	18.9066	18.0479	15.96	21.1674	15.6119	22.7604	23.3316	23.1036	23.9487	30.1055	33.3955	29.0095	23.575	27.1188	22.0191	353.019	356.7682	312.5077	16.272	11.2776	13.4495	22.0521	12.3452	16.0328	15.4556	13.5743	13.3375	14.9313	16.3508	13.2305	27.2281	20.2585	18.2722	383.949	373.4298	351.8953
ENSMUSG00000034684	4.7319	3.697	3.6388	2.856	2.3819	2.9069	1.5989	1.414	1.4628	2.0571	2.5903	1.9786	8.0718	5.3431	4.9842	1.0606	1.1551	1.0184	6.6783	6.6153	6.6531	6.673	5.7217	3.7256	2.1258	2.0151	1.9135	3.0892	3.6849	3.0515	7.5996	9.7882	8.5095	1.2218	0.8153	0.866
ENSMUSG00000041301	0	0	0	0	0	0	3.7026	6.372	8.5777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.3669	17.5329	20.9631	0	0	0	0	0	0	0	0	0
ENSMUSG00000001467	101.9201	85.119	93.2214	352.7498	251.9682	539.6297	262.286	136.8848	104.8663	51.1319	61.7013	55.7274	252.2618	132.6526	143.2539	15.8671	12.8324	16.8627	63.9651	49.2238	54.0488	197.202	133.5708	248.3798	161.4504	145.7627	150.4424	38.4738	49.7371	46.8482	127.7242	80.2746	76.6645	140.5498	102.5832	122.7038
ENSMUSG00000029671	0.3007	0.8038	0.3405	0	0	0	0	0	0	0.6125	1.596	1.0174	0	0	0	0	0	0	0.4389	0.7649	0.4843	0	0	0	0	0	0	1.4804	1.1209	2.1488	0	0	0	0	0	0
ENSMUSG00000021301	20.4639	23.2849	22.376	0	0	0	2.8063	5.7698	5.9692	8.9341	7.3155	8.4049	0	0	0	0.8581	0.7514	1.7668	34.8443	44.766	36.1602	0	0	0	12.2365	18.4844	19.1393	25.7603	21.2093	25.1364	0	0	0	2.589	2.7922	3.597
ENSMUSG00000038366	55.2389	67.7394	69.1046	141.0761	201.0716	138.0231	57.5331	46.7116	44.0201	86.4287	100.229	86.9761	280.9661	268.0659	288.4291	112.2415	119.7568	134.0276	28.7476	43.3188	40.7129	87.3752	92.3983	111.9617	14.9595	18.2982	16.5342	56.7345	52.5738	46.3355	169.0876	137.382	175.1968	27.85	29.1577	28.41
ENSMUSG00000020876	14.5756	16.4669	11.9104	9.2059	6.4652	9.287	12.6337	10.476	10.7549	32.3672	24.9873	36.0217	24.9869	26.0772	28.4676	16.1956	12.8308	13.4082	25.4094	38.1204	34.6056	14.6557	17.3349	14.8937	32.6689	35.4232	36.3366	30.4146	41.8303	46.3076	29.534	32.6115	27.4594	18.1861	18.9159	18.8224
ENSMUSG00000007458	117.4882	110.3401	88.7783	158.9993	153.5237	180.1925	70.9092	60.6854	57.9027	87.0083	83.5222	104.9912	182.2737	168.2884	191.605	66.1893	62.1321	72.9643	56.5207	49.2423	56.0559	88.1358	103.1583	83.0868	39.5802	29.7091	32.8309	53.2572	71.841	65.1464	166.2343	113.3344	121.5915	53.4988	48.8692	44.0751
ENSMUSG00000031970	24.8585	15.1821	18.0373	0	0	0	2.9706	4.8506	6.2321	49.7553	55.4009	49.9859	0	0	0	2.0187	2.1219	1.1183	19.0673	11.4166	16.7502	0	0	0	20.0192	40.2056	35.5491	56.8735	63.1195	60.3614	0	0	0	1.4286	1.3083	1.1185
ENSMUSG00000026024	7.9121	9.4696	8.466	44.0367	28.8782	21.5373	5.2478	6.7133	6.2153	10.8731	9.7327	9.5477	14.159	14.4505	17.0195	4.9686	4.0038	5.0674	19.4618	24.5061	21.2815	106.4449	66.7349	61.8657	15.4379	20.0538	16.6751	20.4531	21.2825	22.3478	33.2704	40.9515	39.7437	9.936	9.2739	11.1542
ENSMUSG00000026031	1.8146	1.4505	1.613	18.7569	9.5902	13.0849	3.5851	2.404	1.9627	3.7941	4.9332	3.7921	16.7528	19.4173	19.6885	12.9383	16.0532	13.2949	7.4871	6.1373	4.8738	57.2425	40.4866	45.344	6.0821	3.4504	3.613	1.5949	3.2511	1.9533	15.1045	18.0387	14.3628	10.2261	9.5406	10.2066
ENSMUSG00000027082	7.3489	5.053	8.8641	24.5941	22.7483	17.6804	30.1262	20.874	18.2042	23.1957	26.2587	24.374	20.4414	17.1372	19.0098	39.2182	46.4511	39.5918	5.9131	3.4768	7.7568	13.5782	17.5977	11.8142	12.7158	5.1591	5.3779	9.7904	12.2665	10.4632	9.9548	11.4522	13.62	14.0612	14.7655	12.9574
ENSMUSG00000032580	54.7332	64.0718	64.3152	35.0257	35.9723	41.934	53.4519	64.0644	61.3944	31.1434	47.6931	24.9135	44.1903	40.5101	22.0687	51.7541	57.8641	62.0721	80.9107	83.8183	80.3519	38.855	40.7319	42.5574	72.3885	74.3019	79.7417	52.8336	51.4812	41.0513	40.2163	38.7864	29.8569	62.702	58.7135	57.4974
ENSMUSG00000031596	19.735	12.1345	15.4782	400.42	558.5647	258.1922	22.6459	12.2002	11.8706	29.8316	24.0049	32.2927	2559.3102	2097.5433	2527.8658	4.8615	2.9277	5.1478	10.7863	9.4173	9.6199	274.7323	381.7759	217.2693	5.9699	3.2045	3.1574	14.5092	20.1272	21.8578	1416.4149	1047.0202	1132.7744	3.07	2.3771	3.0428
ENSMUSG00000020440	237.5987	270.6346	313.989	377.3152	322.8392	290.1607	128.8841	101.7079	104.1691	498.8446	506.0742	450.9416	11.4119	14.3072	18.3311	19.7471	28.5069	28.9925	96.4275	129.4833	143.3888	253.1522	207.7999	164.5466	80.5639	81.0886	82.97	232.8417	225.3175	250.1098	8.198	6.9507	7.5487	20.4712	18.7974	24.178
ENSMUSG00000001100	60.322	54.6811	50.9458	134.7195	153.6598	154.9458	65.2684	64.7567	53.2067	60.9203	64.513	65.8467	107.3411	120.9193	103.5128	31.5901	28.2493	31.1958	68.8149	84.1336	83.8082	127.5736	132.7292	120.764	143.9107	205.7436	181.3637	59.4731	67.5311	73.0167	157.7641	139.1237	132.13	102.78	101.6856	90.0469
ENSMUSG00000028792	26.8732	24.7619	25.3384	984.642	768.4328	554.1917	180.4502	208.8813	199.4797	32.7967	37.3006	31.2305	828.5582	895.2348	904.5365	78.7293	118.6381	97.8985	20.0487	24.2701	23.8	358.5152	347.2954	274.3222	143.3523	248.9069	233.8016	26.5602	23.9153	28.1455	524.4135	633.7145	627.4754	104.3749	98.6572	94.8372
ENSMUSG00000029084	7.8527	2.4356	4.4611	28.0002	39.701	31.4506	0	0	0	6.3968	8.5586	7.712	0	0	0	0	0	0	4.5894	2.6997	3.3763	31.7203	32.2591	27.4663	0	0	0	2.8867	5.7776	3.833	0	0	0	0	0	0
ENSMUSG00000030357	162.5613	160.0813	141.3007	382.854	355.8684	431.029	322.8881	317.8169	319.6949	153.5855	119.9038	129.9479	398.6262	375.1507	260.8093	114.4788	119.6509	148.661	122.6513	134.0445	127.3889	267.0833	326.1683	347.2604	670.7606	921.269	969.6907	91.7115	72.469	81.4702	218.0643	193.6885	148.9445	80.6032	75.0804	100.6875
ENSMUSG00000036940	34.1472	40.0477	42.0439	21.1107	18.5973	22.1584	110.3929	151.0942	160.1682	31.3157	28.7086	26.0412	28.3474	28.9314	23.2677	68.9812	66.4325	59.7933	48.1221	53.7001	54.3272	21.8315	24.0741	21.7163	120.4745	163.4293	164.5543	47.4148	45.8612	45.0268	30.877	30.8473	30.467	86.4129	85.0848	94.6806
ENSMUSG00000032582	9.7888	11.6663	11.9112	5.3706	5.2758	7.0526	12.1559	13.3089	15.3281	7.5319	9.9727	8.1433	10.7308	9.5995	7.4796	18.6884	16.5828	21.2324	20.6205	19.4179	18.779	13.1688	13.9562	14.794	28.8712	34.5816	35.3002	22.1037	20.3183	19.0906	21.029	23.0598	17.7493	44.0133	42.1229	38.1598
ENSMUSG00000020785	64.5226	73.3617	61.7922	0	0	0	0	0	0	33.4076	34.9075	43.3704	2.7137	2.2176	2.1869	7.2437	3.1294	13.8151	56.3642	81.3638	70.2433	0	0	0	0	0	0	69.5588	69.2719	91.2629	2.9198	3.7117	2.3766	3.7897	2.5236	8.1065
ENSMUSG00000030243	9.3772	10.0774	10.5302	5.5296	4.7433	5.8016	31.8625	38.2018	41.4511	13.902	11.5503	10.3237	4.605	4.5734	4.5798	7.8824	13.8787	8.4943	13.635	15.4653	15.4027	6.695	4.5028	5.3773	56.5286	75.7259	77.0475	11.958	12.621	13.5299	6.4519	8.57	5.998	13.2771	13.6368	15.1041
ENSMUSG00000001376	36.9413	38.524	39.9113	8.4492	8.6682	8.387	8.9655	8.4789	8.3604	26.2976	34.2446	35.8968	18.9988	18.2505	17.3438	16.3326	16.5124	26.7874	55.7097	52.3021	57.2409	13.8808	12.626	12.9162	11.5713	11.987	12.487	46.3932	64.4478	79.8362	22.975	31.6759	23.2511	22.8687	28.2757	39.8785
ENSMUSG00000030869	222.2179	181.1219	215.4237	325.5319	264.5016	286.5633	81.3597	103.2483	107.0687	320.2476	348.8238	349.4374	493.2203	501.2419	471.4656	199.7903	218.3006	166.8746	35.9415	26.5144	34.435	56.4871	54.5098	46.1906	23.8971	19.8402	25.9301	126.8737	141.0308	139.5884	249.9531	262.1842	280.0574	214.6678	236.5618	197.5635
ENSMUSG00000019577	10.5099	10.3425	8.8526	38.9949	19.8299	14.7512	12.7606	11.4505	3.5351	6.8043	5.6842	10.0661	57.7784	57.0624	70.7849	5.6322	3.9573	6.3385	6.0901	3.3967	4.8309	24.6184	9.899	10.4749	1.9646	1.499	0.4281	4.8743	7.5591	11.5316	28.3835	39.5986	48.9472	2.7758	2.6735	2.5469
ENSMUSG00000019834	0	0	0	0	0	0	98.9674	157.7797	137.9936	1.0523	2.1378	1.7297	0	0	0	0	0	0	0	0	0	0	0	0	250.5124	387.0694	386.8522	1.2563	1.4461	1.314	0	0	0	0	0	0
ENSMUSG00000010044	2.5023	1.7836	2.1409	0	0	0	123.2729	172.4189	156.6115	10.3769	8.8899	11.3714	0	0	0	339.741	374.8728	428.9087	2.8269	2.939	3.5026	0	0	0	280.5436	398.8365	426.1299	13.037	11.9506	12.2384	0	0	0	1053.3682	919.6791	1028.1746
ENSMUSG00000029534	11.5969	12.7417	15.8823	9.7359	12.3572	13.7734	7.5007	8.4789	9.3486	33.7129	31.3818	35.2104	58.5754	49.4677	76.9302	24.8555	19.7683	19.9637	24.2425	21.946	23.3382	15.8179	24.5049	22.9791	12.0422	12.8896	15.5465	31.0191	33.9956	31.2986	68.7734	67.7212	61.717	28.6938	26.8152	25.7303
ENSMUSG00000006574	0	0	0	0	0	0	0	0	0	0.1833	0.517	0.239	6.4638	7.4463	12.9214	0	0	0	0	0	0	0	0	0	0	0	0	0.3197	1.8897	0.6597	28.6518	34.6131	41.0049	0	0	0
ENSMUSG00000031352	42.6085	39.2157	36.9563	32.3443	31.5637	35.1373	18.2698	17.3237	15.6735	49.6755	44.7615	49.4848	32.567	39.7269	32.7024	48.1024	46.2742	40.5016	29.0818	21.1129	23.9289	21.1647	18.4694	20.9763	9.2362	6.7687	6.5449	36.9713	30.983	30.3723	16.1932	20.7455	18.4864	49.774	51.7578	41.7593
ENSMUSG00000058301	32.4722	27.7042	33.2641	60.8321	68.5557	46.6851	62.4874	73.3925	76.7413	60.6098	64.1001	54.8259	72.4838	77.8071	73.6944	69.9113	72.8511	76.0612	30.5811	32.9089	30.6785	85.5198	80.7616	73.6282	43.2782	54.7382	63.1099	50.626	56.3733	53.3518	66.0421	58.6529	54.5875	53.0982	57.0913	61.7573
ENSMUSG00000032625	20.6121	18.2404	19.5967	0	0	0	0.7118	0.3782	0.6982	15.5807	15.3048	16.505	0	0	0	1.7174	1.2949	1.9398	30.4898	32.5239	32.4929	0	0	0	2.429	2.7017	2.8935	26.8229	34.9391	37.6608	0	0	0	3.0463	1.6045	2.3512
ENSMUSG00000020697	5.6648	5.6509	6.0306	15.7421	17.6822	19.2973	44.4906	60.3071	61.5186	9.2232	9.1394	7.3795	10.0095	8.6281	8.6793	22.4231	23.2421	26.4179	11.8101	12.5387	11.055	20.2066	22.0353	24.2167	162.5325	226.8972	227.6382	13.556	14.5658	15.3346	11.5487	11.1771	11.2991	75.3982	81.7071	81.1747
ENSMUSG00000030924	0	0	0	0	0.4975	1.1442	82.2731	101.261	115.7901	7.2869	6.5205	4.8162	18.9341	17.9244	29.6512	7.3755	8.028	6.9585	0	0	0	0.887	4.0478	2.4758	127.2069	161.2041	165.3328	6.6109	7.8752	7.4732	37.2474	41.1066	58.9399	37.1772	40.9544	29.8215
ENSMUSG00000035206	14.1887	11.5281	13.9719	7.8756	13.1901	6.9578	20.9906	23.9935	21.1158	20.4892	21.3713	21.9737	36.0858	29.8229	27.0331	27.1303	27.3073	27.6657	12.5411	15.5379	14.7284	10.9075	14.4982	12.0931	39.205	55.981	47.3004	26.3713	32.0894	29.392	35.11	32.8092	26.7767	36.6229	27.8482	35.6831
ENSMUSG00000002997	75.8433	70.8119	86.8114	0	0	0	14.5036	22.6262	18.8293	18.962	32.2157	24.618	0	0	0	10.4455	13.2058	14.6284	56.2257	52.6556	66.4055	0	0	0	11.0371	15.1928	12.5016	23.7606	29.6397	22.2424	0	0	0	25.4693	29.7899	27.9683
ENSMUSG00000022521	22.0762	23.5756	22.4275	11.4629	10.6886	10.9866	12.7452	11.4797	12.4531	22.1349	19.2191	20.6665	14.4256	13.604	13.8058	10.8346	8.7467	11.5255	25.848	25.8882	25.9801	27.2373	28.6501	28.222	9.5168	7.2534	7.3769	41.7492	38.8309	37.8054	31.9949	31.5545	35.8139	11.5731	10.0692	14.4091
ENSMUSG00000034156	13.4394	11.6579	7.7281	0	0	0	0.6432	1.1778	1.0953	5.4368	8.7569	9.0782	0	0	0	5.5566	5.3132	9.8413	50.5723	64.9605	49.6029	0	0	0	1.3158	1.7294	2.3449	55.7773	59.6161	68.5711	0	0	0	5.6753	6.7463	9.6967
ENSMUSG00000030032	22.1806	18.6203	20.7501	0.4722	1.4249	1.035	32.4147	42.4586	47.9846	40.5862	38.7478	42.2224	6.5163	5.3682	5.4083	40.8753	52.0775	54.361	12.6006	13.9282	15.9941	0.8022	0.6508	0.9703	55.1816	85.1814	85.9778	28.0092	27.6767	34.8198	4.9005	5.3986	3.682	29.9998	25.2266	43.5445
ENSMUSG00000003623	24.9898	29.5831	24.7633	572.4842	1036.725	1703.5455	28.5096	28.0252	27.9564	17.5808	16.6265	16.5029	25.8044	30.5384	39.7817	265.8286	260.6531	221.1557	26.2243	29.0537	22.8621	428.76	877.715	974.9747	19.4269	19.6367	17.0826	13.6631	14.2029	10.8558	21.8014	21.9626	33.132	164.6925	157.2998	149.0253
ENSMUSG00000029004	12.911	13.2565	13.3318	7.15	4.1802	4.2843	8.363	7.4711	9.8662	10.691	11.0081	11.1724	4.2271	3.9983	2.8472	3.9214	4.7093	4.4543	32.7076	28.4812	27.1871	26.9365	22.9239	26.2109	13.5887	10.1833	10.5582	46.6403	40.2112	39.5037	24.4034	29.0493	30.0261	8.9577	7.9627	11.2622
ENSMUSG00000035941	3.915	3.7545	3.6121	19.6956	16.061	12.8982	12.1548	10.2068	10.859	10.0124	10.3535	11.3286	19.5433	18.7305	14.1884	21.2572	20.6884	19.0321	16.0519	14.696	13.5452	62.5012	49.5142	59.0328	20.0283	15.7644	13.7991	30.9139	32.8413	36.8659	53.9679	61.4227	55.6924	52.1917	48.869	47.4898
ENSMUSG00000022124	52.0187	62.5923	52.4076	30.9048	42.9827	30.2496	34.6726	25.1077	25.4948	32.0582	30.399	31.9063	18.9522	18.8596	17.726	24.2406	24.0458	19.4387	86.5679	97.6026	93.2402	47.505	73.3151	51.9952	47.2331	39.5041	41.4905	45.4782	50.6962	41.8849	39.0425	36.0312	32.5819	23.1705	25.906	24.6182
ENSMUSG00000001507	14.0853	8.6352	10.2518	5.9541	5.9985	4.2203	5.5613	3.7207	3.3586	2.1701	3.5165	3.5076	7.0301	4.8274	5.344	2.0248	1.2176	2.1737	12.5213	8.7295	10.6414	8.1653	5.8326	7.6804	2.4431	2.0306	2.056	9.2565	10.7822	13.7157	5.2575	5.0814	4.3393	2.2271	3.1955	3.1964
ENSMUSG00000016534	146.6486	140.1044	166.8527	2028.3126	2118.9482	2435.0239	353.8798	334.553	383.2301	66.6115	63.5895	60.8664	19.277	18.1861	21.723	503.3349	508.0018	455.4082	57.1174	47.646	52.2061	698.1268	655.4938	708.1217	69.1567	58.76	54.4217	18.2986	27.419	21.2936	7.9308	5.9827	7.7466	96.6718	96.7271	94.2823
ENSMUSG00000033917	174.6656	191.5055	185.0648	31.2805	30.3433	29.2908	34.6298	43.3765	40.7905	43.4674	41.7231	45.3757	28.8455	36.4723	38.2655	22.0355	18.703	18.8579	176.8157	214.1635	229.5751	55.4483	48.9275	48.6576	131.9487	198.7767	197.5227	36.6452	37.9843	39.3931	51.8258	48.6703	43.3263	42.8073	48.0883	38.5729
ENSMUSG00000020941	1.9157	1.9463	1.8846	1.8716	1.7837	0.5862	1.0308	0.4965	0.8977	0.7927	1.1493	1.1174	1.4622	2.5239	2.5323	66.7746	61.4562	94.2375	2.5281	2.2315	2.2522	4.2406	1.9353	2.5155	1.7143	2.8406	1.6919	3.5067	3.4835	3.0266	3.5268	4.054	4.3416	236.5513	222.8291	228.6338
ENSMUSG00000040136	7.8697	8.5642	7.0107	0	0	0	0	0	0	10.1774	6.3176	10.3003	4.2881	3.2131	2.7045	5.21	3.9809	5.0496	9.2708	15.595	10.4895	0	0	0	0	0	0	15.7829	12.7871	24.1788	5.7873	4.0259	4.2943	5.8714	4.8378	6.0178
ENSMUSG00000066189	47.3648	80.5845	75.6007	0	0	0	0	0	0	71.4479	66.8047	75.3217	0	0	0	0	0	0	20.4871	33.9224	35.1335	0	0	0	0	0	0	73.2267	76.0193	74.6258	0	0	0	0	0	0
ENSMUSG00000061762	236.5575	87.4783	203.35	0	0	0	16.5682	26.6028	45.0262	28.0719	127.0556	91.8597	0	0	0	3.6781	0.8499	4.6628	117.5378	35.0359	88.1886	0	0	0	27.5312	42.896	79.1589	10.5147	62.1578	27.1261	0	0	0	16.5938	10.3186	11.418
ENSMUSG00000020866	7.4469	5.1319	4.9467	0	0	0	0.137	0.3849	0.3385	4.1202	4.5806	5.974	0	0	0	0.2659	0.1405	0.3302	18.1619	18.1289	17.1236	0	0	0	0.5652	0.4911	1.052	23.9733	27.1854	39.0869	0	0	0	0.484	0.5581	0.6832
ENSMUSG00000029754	10.89	8.0283	9.0386	0	0	0	2.0098	2.817	2.9547	3.0174	4.3133	3.5115	0	0	0	1.1277	0.278	0.5719	5.1376	3.326	5.1294	0	0	0	3.9759	6.7323	6.7926	2.0004	3.8739	3.4935	0	0	0	1.0375	1.8867	2.5109
ENSMUSG00000042724	6.2143	6.2014	5.7251	0	0	0	0.9199	0.4936	0.7898	5.2306	5.5772	6.3176	0.2542	0.1732	0.6894	0	0	0	16.4284	21.8544	17.9754	0	0	0	2.339	3.3059	3.0421	34.6275	30.6045	31.4234	1.4532	1.9161	3.8535	0	0	0
ENSMUSG00000042599	22.0734	27.6418	23.7155	10.024	12.4604	12.255	29.8928	35.0809	35.2867	26.2466	30.1093	26.2829	11.6987	12.0016	11.8538	28.9574	36.1755	37.1457	36.4678	38.1123	32.6419	24.2166	23.8831	25.2072	31.1057	26.4536	23.5782	33.5901	30.2825	31.4998	20.0632	22.3525	24.1595	40.5088	42.5091	47.1915
ENSMUSG00000004151	11.4065	26.351	25.0571	0	0	0	1.6432	1.9788	2.1313	41.6032	31.2962	38.971	3.4161	8.2178	5.6364	8.6112	5.793	12.1996	7.4125	14.8973	14.5081	0	0	0	0.7945	0.9389	0.9936	35.2286	27.8498	32.7052	1.4822	3.507	3.3855	1.9092	1.8014	2.1002
ENSMUSG00000039987	3.8031	4.1623	3.638	2.3257	2.3847	2.8474	5.0818	4.5749	6.253	11.3456	11.8241	11.3722	0.9377	1.3091	1.3079	7.0832	6.2673	6.2438	15.3217	14.8608	13.1001	8.3833	7.9069	9.2605	12.3272	10.4794	10.655	23.0824	20.3748	20.7095	3.363	2.8794	3.6892	12.7062	10.756	11.0001
ENSMUSG00000030838	0	0	0	0	0	0	1.1649	0.4008	0.8634	0.7107	1.7198	1.795	0	0	0	0	0	0	0	0	0	0	0	0	5.9214	8.501	11.1167	4.8778	4.8778	6.1951	0	0	0	0	0	0
ENSMUSG00000034881	0.7888	0.4472	0.4601	1.6184	2.3506	0.8689	0	0	0	2.2698	1.4211	2.1401	5.4897	6.0588	3.9902	0	0	0	0.5756	0.6242	0.6116	0.6548	2.4704	1.5355	0	0	0	2.5651	2.8759	2.5791	3.819	2.8535	4.387	0	0	0
ENSMUSG00000042148	8.8188	7.1599	8.2763	6.4115	10.1845	5.0201	7.253	6.8172	6.3264	21.0257	19.8574	21.4745	27.1324	29.1123	30.1332	24.8398	21.5232	21.5767	8.8175	9.4099	8.6974	9.9871	13.3206	9.1804	9.3396	10.4639	10.2387	15.4572	19.478	17.8469	25.0073	23.2948	32.9429	72.7855	85.8853	64.1342
ENSMUSG00000020549	12.7233	10.2678	11.0694	22.0497	27.2961	23.5352	14.6447	15.3335	13.4869	26.7063	26.2578	28.6779	28.2466	30.1609	28.0123	13.3649	13.4699	12.5647	13.5382	12.0226	13.0346	22.9336	24.7326	25.3072	18.4942	20.0837	17.8597	25.5111	28.376	27.9685	28.6279	28.2725	24.6284	11.2299	11.5156	9.9642
ENSMUSG00000002565	0	0	0	0	0	0	0	0	0	4.3167	2.2906	3.1096	3.0999	1.636	1.7775	1.7363	2.4999	3.9186	0	0	0	0	0	0	0	0	0	3.6563	4.2706	4.9575	2.0847	1.9903	1.7543	1.5241	3.0861	2.8738
ENSMUSG00000060180	0	0.0981	0.0416	0	0	0	0	0	0	0.5399	0.1855	0.3133	0	0	0	83.0517	91.4141	94.891	0.1965	0.3424	0	0	0	0	0	0	0	2.2375	0.1404	0.3279	0	0	0	318.6445	315.2938	270.9847
ENSMUSG00000030168	38.9709	31.0512	30.0881	965.3087	789.5593	582.509	37.5222	36.6925	28.9763	43.4999	45.92	39.0665	129.8245	140.0968	132.1519	20.3186	17.4274	21.0573	34.1917	27.4231	32.6792	620.2366	621.5811	439.5231	41.173	34.5147	38.3376	30.434	41.6929	41.0608	219.2876	167.596	143.4501	18.5434	20.0081	21.7664
ENSMUSG00000029086	8.536	6.7149	6.2605	0.184	0.4094	0.3075	5.9435	9.924	13.0544	3.6952	3.4843	3.7822	0	0	0	0	0	0	9.599	9.5501	9.6278	0.7821	0.3807	0.5532	31.8647	47.5095	54.1856	4.5599	5.6749	5.9742	0	0	0	0	0	0
ENSMUSG00000007721	66.6698	91.7046	63.0514	89.231	107.633	39.5338	32.0668	43.8227	38.7882	107.1032	97.1188	113.3625	40.6011	48.9276	78.6609	34.8117	34.8882	46.574	51.5683	84.1448	73.7341	38.6266	50.384	51.6193	59.2257	116.1251	103.4357	141.1259	92.5826	98.263	66.697	60.0353	85.3952	49.0997	49.5039	49.6623
ENSMUSG00000020745	597.1069	583.6431	611.5734	133.6507	136.9182	160.4426	139.4374	144.9598	149.6115	726.0606	681.5236	677.7313	163.3934	167.4942	148.3905	122.7821	134.8968	135.5496	409.8624	361.0221	396.1851	116.3895	122.1497	111.4653	244.1062	239.6333	259.4058	485.8121	441.1598	468.7182	164.8447	178.879	141.8866	476.2973	394.9307	660.7961
ENSMUSG00000020826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000010277	15.2295	13.2119	12.8217	12.9255	11.5887	9.4851	18.7622	19.5312	22.8076	8.8583	8.1931	9.2905	3.8328	3.648	3.613	2.134	1.7047	2.771	75.4001	75.1357	76.5055	99.621	105.0441	96.0995	121.3609	154.2042	135.2355	26.5207	38.3425	45.4721	12.7563	14.1542	11.8661	4.5305	3.5089	5.3541
ENSMUSG00000001095	0	0	0	4.3108	6.8904	2.1939	4.148	3.1422	3.4835	0	0	0	0	0	0	0	0	0	0	0	0	4.6545	4.3181	2.0874	0.5175	0.6295	0.6165	0	0	0	0	0	0	0	0	0
ENSMUSG00000004933	47.4324	44.6117	45.0883	0	0	0	0.8742	1.4577	0.9969	22.9986	17.151	23.4148	1.7582	1.2573	1.063	0	0	0	113.8157	187.6574	164.872	0	0	0	3.0172	2.8024	3.1369	50.2787	42.8882	54.9171	0.5912	0.7363	1.2792	0	0	0
ENSMUSG00000040592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8008	2.7221	5.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.6626	7.2815	8.7532
