Ensembl.ID	Mouse.Brain.RP.R1	Mouse.Brain.RP.R2	Mouse.Brain.RP.R3	Mouse.Liver.RP.R1	Mouse.Liver.RP.R2	Mouse.Liver.RP.R3	Mouse.Testis.RP.R1	Mouse.Testis.RP.R2	Mouse.Testis.RP.R3	Opossum.Brain.RP.R1	Opossum.Brain.RP.R2	Opossum.Brain.RP.R3	Opossum.Liver.RP.R1	Opossum.Liver.RP.R2	Opossum.Liver.RP.R3	Opossum.Testis.RP.R1	Opossum.Testis.RP.R2	Opossum.Testis.RP.R3	Mouse.Brain.TR.R1	Mouse.Brain.TR.R2	Mouse.Brain.TR.R3	Mouse.Liver.TR.R1	Mouse.Liver.TR.R2	Mouse.Liver.TR.R3	Mouse.Testis.TR.R1	Mouse.Testis.TR.R2	Mouse.Testis.TR.R3	Opossum.Brain.TR.R1	Opossum.Brain.TR.R2	Opossum.Brain.TR.R3	Opossum.Liver.TR.R1	Opossum.Liver.TR.R2	Opossum.Liver.TR.R3	Opossum.Testis.TR.R1	Opossum.Testis.TR.R2	Opossum.Testis.TR.R3
ENSMUSG00000035049	18.4933	16.867	18.0836	8.4606	8.1413	7.9112	17.2652	19.5963	17.0077	24.1257	17.6353	19.9572	8.8864	9.4497	7.0277	44.644	35.0834	42.6559	18.5131	20.6133	20.9941	7.8799	8.0124	7.6216	29.6643	41.185	42.2583	24.1205	22.1572	25.5028	7.9601	8.6927	5.7268	35.6168	33.3146	27.9705
ENSMUSG00000061175	4.0119	3.7501	4.3964	12.9593	10.5208	8.7263	3.9614	3.4741	3.1917	10.9977	10.9708	10.0373	55.7243	54.9859	98.7815	3.572	2.7294	3.8534	14.0753	14.8868	13.392	41.0152	40.9422	30.2319	6.5653	4.1873	5.2128	35.5197	39.7775	33.6062	164.8039	159.593	273.4569	8.3089	7.751	9.8061
ENSMUSG00000031604	131.485	118.7932	137.7385	368.656	364.6116	785.9217	390.2899	173.7326	92.2243	172.326	164.9357	135.5283	956.7593	582.1668	1242.1608	32.1186	31.1746	23.2669	85.6257	65.9199	76.5102	224.8659	193.0093	470.1086	132.9353	55.6683	27.348	54.8859	68.5482	51.6014	470.0556	285.2661	493.1386	15.1246	15.3235	9.7197
ENSMUSG00000036264	18.0768	25.8707	23.272	0	0	0	0	0	0	14.3569	18.0914	15.0839	0	0	0	0	0	0	12.6761	18.2725	13.7205	0	0	0	0	0	0	9.5679	12.8542	11.3962	0	0	0	0	0	0
ENSMUSG00000045555	1.1004	1.6507	0.9917	0	0	0	0	0	0	7.2537	7.4092	6.1982	1.0768	1.54	1.0013	3.2817	2.0515	2.9976	1.2018	1.9689	1.5913	0	0	0	0	0	0	8.4369	12.7266	11.0502	1.1586	1.082	1.741	2.962	2.2319	3.7064
ENSMUSG00000036291	16.2655	13.4163	14.3647	17.2857	16.1682	17.0146	6.4189	5.8997	8.1217	11.3416	9.4668	10.8047	21.0724	18.2408	19.2841	7.5659	4.9934	4.7282	19.9115	17.36	17.6303	17.4236	19.0951	19.2515	8.0434	6.3978	7.6003	10.4885	13.6569	13.7857	32.0227	18.2505	21.7319	6.4355	6.6136	5.8092
ENSMUSG00000009545	0	0	0	1.3401	3.8321	0	0	0	0.1399	0	0	0	1.7229	0.44	1.602	0	0	0	0	0	0	0	2.0788	0	0.8764	0.5077	1.0873	0	0	0	3.7653	2.8855	4.1784	0	0	0
ENSMUSG00000028847	197.3139	188.7321	137.2552	290.2312	193.2038	178.0552	108.3798	88.578	70.3574	92.0555	97.6941	109.4838	91.5554	94.0564	92.0171	62.0811	55.5489	56.6934	83.1354	77.0834	81.1618	75.2279	67.008	63.9673	43.3031	35.294	35.2372	68.4175	64.5079	69.977	49.5368	55.3887	53.5752	66.9519	65.5685	62.9478
ENSMUSG00000015085	16.8102	5.7044	7.9124	4.4107	4.7611	1.7976	10.0557	4.5053	4.9296	7.8542	6.8703	6.5456	15.0016	12.9556	18.8798	8.857	6.5936	10.2395	4.4537	2.0597	3.244	3.3413	4.0663	2.9745	1.8681	0.7983	0.912	3.046	6.732	3.9705	11.33	6.262	12.0135	5.2701	5.4286	4.9533
ENSMUSG00000026504	7.5141	6.7859	6.0719	5.6901	3.9886	3.7711	13.7021	21.6845	25.4543	11.448	11.94	12.508	0.8703	1.1345	1.2563	8.7987	12.2062	10.8509	24.3693	26.6737	25.4574	10.1682	7.6299	8.8812	46.9556	69.0061	78.9869	39.0979	30.2628	30.1879	4.1179	5.9324	4.2952	81.9022	77.8271	72.9737
